,open,high,low,close,adj close,volume
2022-01-29,2544.99,2636.66,2520.01,2601.43,2601.43,376666.0
2022-01-30,2601.43,2640.0,2542.5,2601.68,2601.68,290770.0
2022-01-31,2601.67,2706.77,2476.07,2686.94,2686.94,444584.0
2022-02-01,2686.94,2813.0,2673.52,2787.23,2787.23,390034.0
2022-02-02,2787.48,2810.88,2612.72,2680.67,2680.67,447852.0
2022-02-03,2680.25,2726.64,2576.05,2695.46,2695.46,405043.0
2022-02-04,2695.21,2995.0,2671.4,2994.99,2994.99,664002.0
2022-02-05,2994.99,3060.47,2958.01,3012.65,3012.65,356803.0
2022-02-06,3012.64,3074.56,2950.21,3054.99,3054.99,249394.0
2022-02-07,3055.0,3186.0,2991.8,3139.77,3139.77,455070.0
2022-02-08,3139.77,3232.87,3025.21,3116.69,3116.69,514773.0
2022-02-09,3116.69,3269.7,3055.0,3243.94,3243.94,370267.0
2022-02-10,3243.6,3283.66,3056.74,3072.49,3072.49,578212.0
2022-02-11,3072.36,3138.62,2879.0,2927.54,2927.54,462025.0
2022-02-12,2927.54,2985.98,2858.3,2918.88,2918.88,336250.0
2022-02-13,2918.58,2954.4,2836.7,2871.13,2871.13,242751.0
2022-02-14,2871.14,2964.97,2829.01,2929.75,2929.75,381778.0
2022-02-15,2929.75,3196.19,2912.06,3183.52,3183.52,448971.0
2022-02-16,3183.53,3186.77,3044.03,3122.3,3122.3,319997.0
2022-02-17,3122.31,3160.0,2851.55,2891.87,2891.87,488693.0
2022-02-18,2891.88,2943.97,2750.0,2779.48,2779.48,502977.0
2022-02-19,2779.3,2830.96,2694.45,2763.63,2763.63,293838.0
2022-02-20,2763.63,2764.64,2576.0,2621.99,2621.99,386384.0
2022-02-21,2621.99,2759.51,2558.0,2568.02,2568.02,761838.0
2022-02-22,2568.03,2665.74,2500.0,2636.29,2636.29,692639.0
2022-02-23,2636.28,2753.55,2575.83,2579.71,2579.71,504470.0
2022-02-24,2579.7,2740.0,2300.0,2596.2,2596.2,1395732.0
2022-02-25,2596.26,2834.97,2571.72,2768.49,2768.49,679394.0
