,open,high,low,close,adj close,volume
2022-01-04,0.2273,0.2348,0.22,0.2219,0.2219,28633844.0
2022-01-05,0.2221,0.2415,0.1967,0.2064,0.2064,40474717.0
2022-01-06,0.2064,0.208,0.1924,0.2048,0.2048,22384291.0
2022-01-07,0.2047,0.2055,0.1834,0.1872,0.1872,22472348.0
2022-01-08,0.1873,0.1945,0.1747,0.185,0.185,16336522.0
2022-01-09,0.1851,0.193,0.1818,0.1884,0.1884,13392291.0
2022-01-10,0.1884,0.1919,0.1692,0.1744,0.1744,17416785.0
2022-01-11,0.1747,0.1837,0.1719,0.1832,0.1832,12831574.0
2022-01-12,0.1832,0.1961,0.1832,0.1956,0.1956,16993432.0
2022-01-13,0.1958,0.2012,0.1848,0.1855,0.1855,16917967.0
2022-01-14,0.1855,0.1896,0.1789,0.1843,0.1843,11242850.0
2022-01-15,0.1844,0.1917,0.1828,0.1861,0.1861,8515419.0
2022-01-16,0.1861,0.1884,0.1817,0.1853,0.1853,8678250.0
2022-01-17,0.1852,0.186,0.1743,0.1767,0.1767,10049781.0
2022-01-18,0.1767,0.1813,0.1709,0.1792,0.1792,9994220.0
2022-01-19,0.1789,0.1796,0.1657,0.1686,0.1686,11071763.0
2022-01-20,0.1687,0.1816,0.1678,0.1693,0.1693,23098341.0
2022-01-21,0.1689,0.1731,0.1344,0.138,0.138,40537322.0
2022-01-22,0.138,0.1411,0.1123,0.1211,0.1211,58640954.0
2022-01-23,0.1211,0.1297,0.1177,0.1247,0.1247,33051526.0
2022-01-24,0.1247,0.1253,0.1051,0.1197,0.1197,47556443.0
2022-01-25,0.1197,0.124,0.1171,0.1208,0.1208,17639831.0
2022-01-26,0.121,0.1348,0.119,0.1221,0.1221,20940251.0
2022-01-27,0.1223,0.1256,0.1156,0.1199,0.1199,15587354.0
2022-01-28,0.1197,0.1282,0.1176,0.1277,0.1277,17864292.0
2022-01-29,0.1277,0.1331,0.1269,0.1305,0.1305,15827055.0
2022-01-30,0.1307,0.1344,0.1256,0.1275,0.1275,14273065.0
2022-01-31,0.1277,0.131,0.1212,0.1305,0.1305,12556715.0
2022-02-01,0.1304,0.1387,0.1298,0.1345,0.1345,18634259.0
2022-02-02,0.1345,0.1369,0.1269,0.1288,0.1288,18474019.0
