,open,high,low,close,adj close,volume
2020-04-28,0.00531,0.00542,0.00523,0.00531,0.00531,3254126.0
2020-04-29,0.0053,0.00575,0.00521,0.00558,0.00558,17885085.0
2020-04-30,0.00555,0.00585,0.0054,0.00559,0.00559,7308469.0
2020-05-01,0.00557,0.0063,0.00556,0.00562,0.00562,12409852.0
2020-05-02,0.00561,0.006,0.00561,0.0057,0.0057,15761911.0
2020-05-03,0.00572,0.00577,0.0054,0.00548,0.00548,6738956.0
2020-05-04,0.00551,0.00564,0.00526,0.00547,0.00547,7737112.0
2020-05-05,0.00547,0.00589,0.00534,0.0055,0.0055,6391165.0
2020-05-06,0.00553,0.0056,0.0052,0.0052,0.0052,6646422.0
2020-05-07,0.0052,0.00538,0.005,0.00522,0.00522,8039896.0
2020-05-08,0.00523,0.00548,0.00518,0.0053,0.0053,5025206.0
2020-05-09,0.00531,0.00636,0.00528,0.00604,0.00604,42145341.0
2020-05-10,0.00603,0.00603,0.00484,0.00508,0.00508,27224609.0
2020-05-11,0.00509,0.00523,0.00483,0.00503,0.00503,14293329.0
2020-05-12,0.00511,0.00543,0.00498,0.00527,0.00527,11097388.0
2020-05-13,0.00534,0.00565,0.00534,0.00565,0.00565,8129940.0
2020-05-14,0.00565,0.006,0.0056,0.00584,0.00584,10354382.0
2020-05-15,0.00581,0.00586,0.00552,0.0056,0.0056,6034141.0
2020-05-16,0.00555,0.00586,0.00551,0.0058,0.0058,4558966.0
2020-05-17,0.00584,0.00615,0.00574,0.00592,0.00592,8704374.0
2020-05-18,0.00593,0.00732,0.00593,0.00713,0.00713,26457222.0
2020-05-19,0.00707,0.00722,0.00675,0.00715,0.00715,25280853.0
2020-05-20,0.00715,0.00795,0.00627,0.00645,0.00645,39248670.0
2020-05-21,0.00649,0.00691,0.00574,0.00607,0.00607,34784469.0
2020-05-22,0.00605,0.00649,0.00597,0.00632,0.00632,15554822.0
2020-05-23,0.00635,0.00642,0.00621,0.00632,0.00632,6526590.0
2020-05-24,0.00632,0.0075,0.00628,0.00662,0.00662,40188812.0
2020-05-25,0.0066,0.00764,0.0065,0.00728,0.00728,20184562.0
2020-05-26,0.00719,0.00744,0.00656,0.00694,0.00694,19669249.0
2020-05-27,0.00694,0.00721,0.00667,0.00684,0.00684,13979384.0
2020-05-28,0.00682,0.00685,0.00657,0.0066,0.0066,12144901.0
2020-05-29,0.00662,0.0069,0.00652,0.00677,0.00677,5976905.0
2020-05-30,0.00677,0.00705,0.00668,0.00701,0.00701,11379348.0
2020-05-31,0.00701,0.01096,0.00679,0.00691,0.00691,55249062.0
2020-06-01,0.00686,0.00739,0.00588,0.00707,0.00707,18170965.0
2020-06-02,0.00702,0.00735,0.00665,0.00711,0.00711,12830496.0
2020-06-03,0.00711,0.0075,0.00706,0.00727,0.00727,19871095.0
2020-06-04,0.00727,0.00741,0.00711,0.00737,0.00737,9251090.0
2020-06-05,0.00739,0.00761,0.00733,0.00735,0.00735,5615798.0
2020-06-06,0.00735,0.0078,0.00728,0.00762,0.00762,8193694.0
2020-06-07,0.00758,0.00771,0.00742,0.00762,0.00762,6647928.0
2020-06-08,0.00763,0.00785,0.00745,0.00777,0.00777,6015508.0
2020-06-09,0.00783,0.0084,0.00756,0.00823,0.00823,15931019.0
2020-06-10,0.00821,0.00823,0.00777,0.00796,0.00796,13276618.0
2020-06-11,0.00797,0.00809,0.00691,0.00698,0.00698,13242450.0
2020-06-12,0.00692,0.00747,0.00681,0.00743,0.00743,6638739.0
2020-06-13,0.00746,0.00898,0.00732,0.00818,0.00818,51564382.0
2020-06-14,0.00818,0.00834,0.00761,0.00777,0.00777,17039734.0
2020-06-15,0.00777,0.00808,0.00721,0.0079,0.0079,14786608.0
2020-06-16,0.0079,0.00849,0.00787,0.00813,0.00813,8792290.0
2020-06-17,0.00809,0.00879,0.00796,0.00864,0.00864,13865864.0
2020-06-18,0.00864,0.00883,0.0083,0.0085,0.0085,8940034.0
2020-06-19,0.0085,0.00861,0.00798,0.00839,0.00839,6650315.0
2020-06-20,0.00846,0.00857,0.00812,0.0084,0.0084,4666100.0
2020-06-21,0.0084,0.00854,0.00832,0.00845,0.00845,2244954.0
