,open,high,low,close,adj close,volume
2020-10-19,5.763,5.778,5.453,5.502,5.502,2068689.0
2020-10-20,5.504,5.508,4.989,5.024,5.024,2436688.0
2020-10-21,5.027,5.494,4.988,5.241,5.241,1830855.0
2020-10-22,5.233,5.573,5.216,5.444,5.444,1866936.0
2020-10-23,5.449,5.5,5.16,5.364,5.364,2142401.0
2020-10-24,5.365,5.593,5.253,5.543,5.543,1498599.0
2020-10-25,5.543,5.65,5.238,5.292,5.292,1635766.0
2020-10-26,5.289,5.37,4.963,5.145,5.145,1753121.0
2020-10-27,5.14,5.324,5.066,5.138,5.138,1624434.0
2020-10-28,5.136,5.151,4.72,4.803,4.803,1803422.0
2020-10-29,4.801,4.863,4.521,4.633,4.633,1448427.0
2020-10-30,4.631,4.71,4.343,4.62,4.62,1837126.0
2020-10-31,4.619,4.811,4.591,4.616,4.616,1254670.0
2020-11-01,4.613,4.85,4.542,4.743,4.743,1776045.0
2020-11-02,4.741,4.873,4.551,4.603,4.603,1652207.0
2020-11-03,4.599,4.607,4.301,4.48,4.48,1642928.0
2020-11-04,4.479,4.481,4.206,4.387,4.387,1314586.0
2020-11-05,4.391,4.587,4.276,4.504,4.504,2364763.0
2020-11-06,4.503,4.956,4.469,4.88,4.88,3325831.0
2020-11-07,4.879,5.162,4.492,4.619,4.619,4014575.0
2020-11-08,4.62,4.908,4.557,4.809,4.809,1450522.0
2020-11-09,4.805,5.2,4.662,5.155,5.155,2965481.0
2020-11-10,5.159,5.283,4.896,5.084,5.084,2812970.0
2020-11-11,5.088,5.281,5.01,5.033,5.033,1838287.0
2020-11-12,5.03,5.303,4.931,5.03,5.03,3097396.0
2020-11-13,5.029,5.26,5.015,5.213,5.213,1359622.0
2020-11-14,5.215,5.237,4.987,5.045,5.045,1461553.0
2020-11-15,5.044,5.12,4.856,4.979,4.979,1298343.0
2020-11-16,4.971,5.182,4.927,5.084,5.084,1579654.0
2020-11-17,5.079,5.37,5.066,5.285,5.285,2413275.0
2020-11-18,5.284,5.322,4.909,5.105,5.105,2543163.0
2020-11-19,5.11,5.221,4.985,5.097,5.097,1336015.0
2020-11-20,5.098,5.458,5.076,5.268,5.268,3035769.0
2020-11-21,5.269,5.948,5.262,5.922,5.922,4453353.0
2020-11-22,5.923,5.977,5.24,5.481,5.481,2994332.0
2020-11-23,5.486,5.917,5.38,5.811,5.811,3488084.0
2020-11-24,5.812,6.405,5.657,5.966,5.966,6600917.0
2020-11-25,5.966,6.47,5.68,5.904,5.904,6640532.0
2020-11-26,5.902,6.331,5.0,5.33,5.33,9067599.0
2020-11-27,5.33,5.446,5.083,5.368,5.368,2185074.0
2020-11-28,5.363,5.544,5.226,5.43,5.43,1371677.0
2020-11-29,5.438,5.544,5.312,5.429,5.429,1366959.0
2020-11-30,5.431,5.68,5.34,5.571,5.571,2441588.0
2020-12-01,5.568,5.71,5.1,5.256,5.256,3229622.0
2020-12-02,5.256,5.547,5.198,5.51,5.51,1513509.0
2020-12-03,5.505,5.645,5.365,5.5,5.5,1555469.0
2020-12-04,5.5,5.536,5.0,5.049,5.049,1758854.0
2020-12-05,5.046,5.3,4.966,5.261,5.261,1268760.0
2020-12-06,5.262,5.287,5.08,5.213,5.213,765820.0
2020-12-07,5.214,5.228,5.075,5.1,5.1,539260.0
2020-12-08,5.1,5.137,4.636,4.738,4.738,1249935.0
