,open,high,low,close,adj close,volume
2021-05-26,27.505,34.285,26.847,34.018,34.018,15626091.0
2021-05-27,34.03,35.334,30.033,31.732,31.732,14928881.0
2021-05-28,31.723,32.185,26.821,27.878,27.878,18329155.0
2021-05-29,27.872,29.734,24.12,25.365,25.365,11852877.0
2021-05-30,25.377,29.168,23.7,26.818,26.818,11581989.0
2021-05-31,26.813,32.159,25.555,32.098,32.098,11530173.0
2021-06-01,32.098,32.65,29.035,30.719,30.719,8541347.0
2021-06-02,30.729,32.218,29.669,30.67,30.67,6690371.0
2021-06-03,30.669,32.856,30.0,32.198,32.198,7153659.0
2021-06-04,32.199,32.267,27.172,28.826,28.826,11814359.0
2021-06-05,28.829,30.186,26.044,27.129,27.129,8061770.0
2021-06-06,27.127,28.19,26.818,27.532,27.532,4103120.0
2021-06-07,27.53,28.693,24.234,24.584,24.584,7596956.0
2021-06-08,24.574,25.098,21.334,24.076,24.076,12541377.0
2021-06-09,24.079,25.626,22.441,25.585,25.585,10774426.0
2021-06-10,25.589,25.78,22.721,23.114,23.114,8528580.0
2021-06-11,23.117,23.374,21.0,21.478,21.478,7708441.0
2021-06-12,21.475,22.287,20.0,21.67,21.67,8866594.0
2021-06-13,21.671,23.886,20.396,23.312,23.312,8518777.0
2021-06-14,23.314,25.28,22.837,24.973,24.973,8601439.0
2021-06-15,24.967,26.458,24.376,24.482,24.482,7591140.0
2021-06-16,24.48,24.64,22.918,23.044,23.044,7504910.0
2021-06-17,23.042,24.445,22.81,23.396,23.396,5252377.0
2021-06-18,23.401,23.425,20.526,21.233,21.233,6991986.0
2021-06-19,21.236,21.95,20.0,20.246,20.246,5051884.0
2021-06-20,20.263,22.071,19.077,21.646,21.646,6747456.0
2021-06-21,21.641,21.881,16.981,17.365,17.365,16334287.0
2021-06-22,17.357,18.797,15.0,16.85,16.85,19816152.0
2021-06-23,16.84,19.199,16.149,18.395,18.395,10955575.0
2021-06-24,18.393,19.525,17.352,19.06,19.06,6913929.0
2021-06-25,19.06,19.5,16.813,16.87,16.87,10064722.0
2021-06-26,16.872,17.495,15.92,16.952,16.952,8397555.0
2021-06-27,16.951,18.412,16.591,18.406,18.406,6672229.0
2021-06-28,18.407,19.434,17.902,18.83,18.83,7730969.0
2021-06-29,18.83,20.546,18.752,19.535,19.535,7920272.0
2021-06-30,19.531,19.776,18.149,19.516,19.516,7407061.0
2021-07-01,19.517,19.533,17.603,18.186,18.186,6081147.0
2021-07-02,18.184,18.523,17.256,18.274,18.274,5454370.0
2021-07-03,18.277,18.894,17.864,18.543,18.543,3457947.0
2021-07-04,18.543,19.925,18.002,19.242,19.242,4719545.0
2021-07-05,19.238,19.242,17.767,18.362,18.362,5293286.0
2021-07-06,18.364,20.271,18.317,20.073,20.073,8365971.0
2021-07-07,20.073,21.274,19.62,19.788,19.788,7382310.0
2021-07-08,19.786,19.873,18.138,18.353,18.353,7810651.0
2021-07-09,18.365,18.877,17.617,18.656,18.656,5274715.0
2021-07-10,18.656,18.988,17.734,18.204,18.204,4080693.0
2021-07-11,18.209,18.581,17.861,18.383,18.383,2750998.0
2021-07-12,18.382,18.609,17.0,17.518,17.518,3787713.0
2021-07-13,17.514,17.766,16.663,16.87,16.87,3654707.0
2021-07-14,16.873,17.419,16.014,16.936,16.936,5451319.0
2021-07-15,16.936,17.238,15.517,15.764,15.764,6244804.0
2021-07-16,15.764,16.33,15.125,15.234,15.234,5213696.0
2021-07-17,15.234,15.678,15.02,15.352,15.352,5177561.0
2021-07-18,15.352,16.078,15.155,15.47,15.47,3946695.0
2021-07-19,15.475,15.641,14.404,14.528,14.528,5829694.0
